county,means
Alameda County,0.00012231793626133922
Alpine County,0.00015063177927064617
Amador County,0.0002344991555537865
Butte County,0.00021278282673115222
Calaveras County,0.00015969144341371105
Colusa County,0.0002469784844603778
Contra Costa County,0.0001471273091053349
Del Norte County,0.00022697370414094184
El Dorado County,0.00015303138765031582
Fresno County,0.000256287696091881
Glenn County,0.0002567042938338425
Humboldt County,0.00012592640793830765
Imperial County,0.0003593641881080747
Inyo County,0.00023821472782629085
Kern County,0.0002835079703894768
Kings County,0.00037517280642637864
Lake County,0.000180760377447416
Lassen County,0.0008071239208173151
Los Angeles County,0.00025087124789825683
Madera County,0.0002728269001342246
Marin County,0.00011997492755440399
Mariposa County,0.00016631151383737148
Mendocino County,0.00016733057493837855
Merced County,0.0002621094491258747
Modoc County,0.0002395353286309244
Mono County,0.00023518244269596792
Monterey County,0.00019856296545156808
Napa County,0.00016239306096895714
Nevada County,0.00016552280755877227
Orange County,0.00017244745551548877
Placer County,0.0001693909761163915
Plumas County,0.00017179674410398434
Riverside County,0.0002526672322745708
Sacramento County,0.00017739323642001199
San Benito County,0.00019800701900743163
San Bernardino County,0.0002788252230545413
San Diego County,0.00020020975229395166
San Francisco County,0.00010704860941879198
San Joaquin County,0.0002261364892608109
San Luis Obispo County,0.00018413321682973557
San Mateo County,0.00012316317544547957
Santa Barbara County,0.00017396464960928125
Santa Clara County,0.0001321604269157008
Santa Cruz County,0.00013781470893100013
Shasta County,0.00024638163228033697
Sierra County,0.0001344019757677345
Siskiyou County,0.0001853681702936015
Solano County,0.0001729419857772963
Sonoma County,0.0001472386945016525
Stanislaus County,0.0002699132920848687
Sutter County,0.0002432145644648968
Tehama County,0.00025155464074068905
Trinity County,0.00016039587065950036
Tulare County,0.0003064548089830896
Tuolumne County,0.00023688195169547743
Ventura County,0.00020268844563432276
Yolo County,0.00016101135412973898
Yuba County,0.00022734879345332037
