county,means
Alameda County,0.002228296297464527
Alpine County,0.001796343375603222
Amador County,0.0014783022064714622
Butte County,0.001663543300020193
Calaveras County,0.0015157621916935874
Colusa County,0.0016504347654826717
Contra Costa County,0.0022762173195188164
Del Norte County,0.0013066106510932608
El Dorado County,0.0016892595084520728
Fresno County,0.001636318727820215
Glenn County,0.0014851261869524136
Humboldt County,0.0018638628059449397
Imperial County,0.002274180498930669
Inyo County,0.001689346697299437
Kern County,0.001424852320042904
Kings County,0.0011774127959728803
Lake County,0.001555182967064522
Lassen County,0.0008169091129743641
Los Angeles County,0.0020283143919306882
Madera County,0.0014602139773009586
Marin County,0.002454378987817139
Mariposa County,0.0012827596734687312
Mendocino County,0.001950022024715789
Merced County,0.0013465936417622444
Modoc County,0.0012148930625962093
Mono County,0.0018031978200290716
Monterey County,0.0019765178424195956
Napa County,0.002233849903774498
Nevada County,0.0017795260353866095
Orange County,0.0020283928667313715
Placer County,0.0018016604772542557
Plumas County,0.001587272279067084
Riverside County,0.0015964818541422394
Sacramento County,0.0018107540647844178
San Benito County,0.0018551982366061593
San Bernardino County,0.001544965565078144
San Diego County,0.002097045443186089
San Francisco County,0.0023675603412405895
San Joaquin County,0.0016137402549536196
San Luis Obispo County,0.0018199775874185625
San Mateo County,0.002339435018733594
Santa Barbara County,0.0019327528954793435
Santa Clara County,0.0023878496479797276
Santa Cruz County,0.002112353516009422
Shasta County,0.0013008081092255386
Sierra County,0.0015606500914863858
Siskiyou County,0.0013693964321960918
Solano County,0.0018162188331609843
Sonoma County,0.002223494097446688
Stanislaus County,0.0015541378410129237
Sutter County,0.0016339492663390723
Tehama County,0.0011496222050548877
Trinity County,0.0014658289902817173
Tulare County,0.0014527597219941024
Tuolumne County,0.001497152503260536
Ventura County,0.002026830503744965
Yolo County,0.0019296550283102922
Yuba County,0.0012991588213031853
